,lithologygroup,sample,sio2,tio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,p2o5,total,ba_ppm,sr_ppm,y_ppm,sc_ppm,zr_ppm,v_ppm,cr_ppm,co_ppm,ni_ppm,cu_ppm,zn_ppm,ga_ppm,rb_ppm,nb_ppm,cs_ppm,hf_ppm,ta_ppm,pb_ppm,bi_ppm,th_ppm,u_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sr87/sr86i,la/yb,zr/y,ba/la,nb/la,y + nb,la/th,la/ta,ba/rb,age_ma,longitude,latitude
32,Post-caldera tholeiites,CE-4-B,66.85,0.99,16.96,3.27,0.07,0.64,1.95,5.38,3.55,0.34,100,528,219,40,7,442,23,2,10,10,22,225,24,,56,,,< 10,2,< 5,,,,,,,,,,,,,,,,,,,11.17,,,95.58,,,,47.0,-70.08,-42.54
33,Post-caldera tholeiites,CE-4-N,67.77,0.69,16.56,1.76,0.09,0.57,1.51,6.1,4.8,0.14,100,521,159,51,16,581,10,< 1,61,14,< 2,87,21,79,53,,,,29,,11,3,,,,,,,,,,,,,,,,,11.39,,,104,,,6.59,47.0,-70.08,-42.54
34,Post-caldera tholeiites,CE-98-02,67.24,0.78,17.79,1.48,0.04,0.17,1.58,6.68,4.07,0.18,100,578,206,48,8,729,17,< 20,13,< 15,< 10,71,25,64,46.1,0.2,14.8,4.5,9,< 0.6,8.79,2.96,48,98.2,10.8,41,8.24,2.34,7.59,1.37,7.99,1.6,4.86,0.81,5.16,0.8,,9.3,15.19,12.04,0.96,94.1,5.46,10.67,9.03,47.0,-70.08,-42.54
35,Post-caldera tholeiites,ES-00-9,66.59,0.67,16.92,3.07,0.05,0.31,1.15,5.69,5.56,N.D.,100,585,182,41,6,614,9,30,32,6,6,164,23,,19,,,< 10,16,< 5,,,,,,,,,,,,,,,,,,,14.95,,,59.67,,,,47.0,-70.08,-42.54
36,Post-caldera tholeiites,ES-99-13C,67.86,0.7,16.21,3.2,0.1,0.35,1.41,6.16,4.02,N.D.,100,545,175,40,5,240,9,28,3,< 1,3,98,24,,51,,,< 10,14,< 5,,,,,,,,,,,,,,,,,,,5.97,,,91.23,,,,47.0,-70.08,-42.54
37,Post-caldera tholeiites,ES-99-13B,69.7,0.7,16.29,1.28,0.05,0.19,1.5,5.9,4.35,N.D.,100,548,179,38,< 5,144,11,30,2,< 1,3,54,24,,51,,,< 10,3,< 5,,,,,,,,,,,,,,,,,,,3.77,,,89.39,,,,47.0,-70.08,-42.54
38,Post-caldera tholeiites,ES-99-13A,66.58,0.75,16.08,2.16,0.05,0.19,1.46,8.71,4.01,N.D.,100,556,205,36,7,240,15,28,3,< 1,6,142,25,,53,,,< 10,27,< 5,,,,,,,,,,,,,,,,,,,6.73,,,88.68,,,,47.0,-70.08,-42.54
39,Post-caldera alkalic basalts,VC-21-04,50.3,1.26,16.74,11.29,0.16,7.12,9.12,3.17,0.57,0.26,100,168,537,22.7,30,112.5,191,146,47,84,38,,16.6,10.8,7.4,,2,0.9,< 2,,5.7,0.1,29.6,,3.3,13.9,3.4,1.3,4.2,9.7,4.3,0.8,2.3,0.3,2.1,0.3,,14.1,4.96,5.68,0.25,30.1,5.19,32.89,15.56,48.5,-70.08,-42.54
40,Post-caldera alkalic basalts,VC-25-04,48.13,0.95,16.9,12.33,0.16,9.02,9.62,2.65,0.16,0.08,100,32,463,13.7,26,33.5,156,243,56,158,44,,13.5,4.6,0.5,,1,0.3,< 2,,2.5,0.1,0.5,,1,5,2.1,0.8,2.8,0.4,2.6,0.5,1.5,0.2,1.2,0.2,,0.42,2.45,64,1,14.2,0.2,1.67,6.96,48.5,-70.08,-42.54
41,Post-caldera alkalic basalts,VC-6,47.54,2.74,16.54,13.54,0.18,5.48,7.86,3.92,1.58,0.61,100,411,521,31.3,25,194.2,244,27,41,48,37,109,20.8,29,26.8,,3,2.2,< 2,,3.5,0.6,18.2,,7.2,27.9,6.7,2.2,6.8,1,5.8,1.2,3.2,0.5,2.8,0.4,,6.5,6.2,22.58,1.47,58.1,5.2,8.27,14.17,48.5,-70.08,-42.54
42,Post-caldera alkalic basalts,ZEB-1-04,53,1.52,17.17,9.09,0.13,5.01,8.55,3.97,1.19,0.38,100,606,532,21.6,27,166.4,179,8,18,14,13,,18.2,18.8,16.6,,3,1.6,17,,2.6,0.8,16.3,,5.4,21.4,5.3,1.5,5.2,0.7,4.2,0.8,2.2,0.3,2,0.3,,8.15,7.7,37.18,1.02,38.2,6.27,10.19,32.23,48.5,-70.08,-42.54
43,Post-caldera alkalic basalts,ZEB-4-04,54.19,1.93,16.44,10.01,0.12,3.65,7.21,4.5,1.48,0.48,100,311,513,25,23,191,223,11,35,15,72,,20.8,15.9,20.1,,3,2.2,< 2,,3.3,1,24.8,,6.8,27.7,6,1.8,6,0.8,4.9,0.9,2.6,0.4,2.3,0.3,,10.78,7.64,12.54,0.81,45.1,7.52,11.27,19.56,48.5,-70.08,-42.54
44,Post-caldera alkalic basalts,ZEB-5-04,55.75,1.53,17.34,7.35,0.18,3.11,8.06,4.77,1.58,0.34,100,257,401,25.5,27,230.7,183,2,34,8,24,,20.4,12.3,20.5,,4,1.7,< 2,,1.7,0.9,23.4,,5.8,22.2,4.9,1.8,5.8,0.7,4.7,0.9,2.7,0.4,2.5,0.4,,9.36,9.05,10.98,0.88,46,13.76,13.76,20.89,48.5,-70.08,-42.54
